,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,laisse,leash
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,longtemps,long time
20,heures,hours
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,savais,knew
27,étaient,were
28,attention,Warning
29,voici,here is
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
34,leurs,their
35,donné,given
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,premier,first
43,perdu,lost
44,main,hand
45,côté,side
46,pouvoir,power
47,vieux,old
48,matin,morning
49,tellement,so much
50,enfant,child
51,venu,came
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,minutes,minutes
57,demandé,request
58,chambre,bedroom
59,belle,beautiful
60,droit,law
61,aimerais,would like to
62,aujourd'hui,today
63,cause,cause
64,enfin,finally
65,espère,hope
66,attendez,Wait
67,parti,left
68,nouvelle,new
69,boulot,job
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,loin,far
76,fin,end
77,croire,believe
78,chérie,sweetheart
79,gros,large
80,aura,will have
81,filles,girls
82,jouer,to play
83,bureau,office
